                2019-03-164h          Brackeys T           
2019-0?-??                ??         anfang Spie           
                2019-04-26         30Schuss abga           
                2019-04-26         60Einführung            
                2019-04-29         60Schuss an z Schuss ger
                2019-05-02         303D Model Sp           
                2019-05-02         15Schuss nur            
                2019-05-03         60kurz anhalt           
                2019-05-10         60Problem 1 v           
                2019-05-12         60Problem 1 v           
                2019-05-12         30mit slomo k           
                2019-05-27         30Problem 1 b           
                2019-06-14         30Problem 1 g           
                2019-07-04         60Spielplanun           
                2019-07-16         30Lebenszeit            
                2019-07-24         30Variablen d           
                2019-07-26         60Menu angefa           
                2019-07-27         60Options Men           
                2019-07-28         15RaumschiffvschildEnergLeben/max  
                2019-07-28         15variablen p           
                2019-07-31         45Regeneratio           
                2019-08-04         15Scrollwheel           
                2019-08-04         60Scrollwheel           
                2019-08-05         30Tasteninput           
                2019-08-06         15Elementen M           
                2019-08-07         60Kontrollier           
                2019-08-08         60Abzug von S           
                2019-08-10         60Lebens- usw           
                2019-08-11         60Leiste fert           
                2019-08-12         90Asteorid 3D           
                2019-08-12         45Asteorids z           
                2019-08-13         45Asteorid +            
2019-??-??                            asteroid l           
2019-??-??                            asteorid z           
                2019-09-26         30Gausssche f           
                2019-09-26         30Gausssche f           
                2019-09-26         30Gausssche f           
                2019-09-27         15bemerken da           
                2019-09-27         60Gausssche z           
                2019-09-27         30normal vert           
                2019-09-27         30asteroidens           
                2019-10-08         60asteorideng           
2019-??-??                7h          versuchung           
                2019-11-24         60Mond in Ble           
                2019-11-30         60probiert de           
                2019-11-30         60Maturarbeit           
                2019-12-01         60probiert ei           
                2019-12-01         30Vorwort Mat           
                2019-12-02         30probiert ei           
                2019-12-02         30Einleitung            
                2019-12-04         60Geschütztur           
                2019-12-04         30Einleitung            
                2019-12-05         30Geschütztur           
